layer,head,target_index,target_token,mean_attention_toward,max_attention_toward,example_id,n_shots,prompt
0,0,2,7,0.03473349288105965,0.275675892829895,521,0,Is 7740 > 2273? Answer:
0,0,3,7,0.05660701170563698,0.4670373797416687,521,0,Is 7740 > 2273? Answer:
0,0,4,4,0.05039263889193535,0.5600407719612122,521,0,Is 7740 > 2273? Answer:
0,0,5,0,0.04822765663266182,0.6294971108436584,521,0,Is 7740 > 2273? Answer:
0,0,6, >,0.12716799974441528,0.9322584867477417,521,0,Is 7740 > 2273? Answer:
0,0,8,2,0.04838584363460541,0.3634774088859558,521,0,Is 7740 > 2273? Answer:
0,0,9,2,0.05848303809762001,0.4310757517814636,521,0,Is 7740 > 2273? Answer:
0,0,10,7,0.03899069502949715,0.484601229429245,521,0,Is 7740 > 2273? Answer:
0,0,11,3,0.041361887007951736,0.45439738035202026,521,0,Is 7740 > 2273? Answer:
0,1,2,7,0.07486019283533096,0.9964112639427185,521,0,Is 7740 > 2273? Answer:
0,1,3,7,0.07486054301261902,0.958152174949646,521,0,Is 7740 > 2273? Answer:
0,1,4,4,0.08563919365406036,0.950552761554718,521,0,Is 7740 > 2273? Answer:
0,1,5,0,0.043066542595624924,0.5090646147727966,521,0,Is 7740 > 2273? Answer:
0,1,6, >,0.07137090712785721,0.992316484451294,521,0,Is 7740 > 2273? Answer:
0,1,8,2,0.06543200463056564,0.7301480174064636,521,0,Is 7740 > 2273? Answer:
0,1,9,2,0.047826118767261505,0.6365765333175659,521,0,Is 7740 > 2273? Answer:
0,1,10,7,0.06957533210515976,0.9683712720870972,521,0,Is 7740 > 2273? Answer:
0,1,11,3,0.06686867028474808,0.9392660856246948,521,0,Is 7740 > 2273? Answer:
0,2,2,7,0.004490714054554701,0.030826130881905556,521,0,Is 7740 > 2273? Answer:
0,2,3,7,0.004170924425125122,0.034183502197265625,521,0,Is 7740 > 2273? Answer:
0,2,4,4,0.0072046793065965176,0.07419513165950775,521,0,Is 7740 > 2273? Answer:
0,2,5,0,0.022036556154489517,0.1315779685974121,521,0,Is 7740 > 2273? Answer:
0,2,6, >,0.0740208625793457,0.9960070252418518,521,0,Is 7740 > 2273? Answer:
0,2,8,2,0.011458347551524639,0.05129637569189072,521,0,Is 7740 > 2273? Answer:
0,2,9,2,0.010504186153411865,0.05778701975941658,521,0,Is 7740 > 2273? Answer:
0,2,10,7,0.0018189524998888373,0.018700039014220238,521,0,Is 7740 > 2273? Answer:
0,2,11,3,0.0030025376472622156,0.04386187344789505,521,0,Is 7740 > 2273? Answer:
0,3,2,7,0.04368673264980316,0.19471269845962524,521,0,Is 7740 > 2273? Answer:
0,3,3,7,0.035606253892183304,0.16257669031620026,521,0,Is 7740 > 2273? Answer:
0,3,4,4,0.027495449408888817,0.1387770026922226,521,0,Is 7740 > 2273? Answer:
0,3,5,0,0.063145712018013,0.24186035990715027,521,0,Is 7740 > 2273? Answer:
0,3,6, >,0.0656171590089798,0.6300078630447388,521,0,Is 7740 > 2273? Answer:
0,3,8,2,0.03305688872933388,0.1556626856327057,521,0,Is 7740 > 2273? Answer:
0,3,9,2,0.02435990236699581,0.14155875146389008,521,0,Is 7740 > 2273? Answer:
0,3,10,7,0.008955089375376701,0.05633258447051048,521,0,Is 7740 > 2273? Answer:
0,3,11,3,0.009100882336497307,0.07730524986982346,521,0,Is 7740 > 2273? Answer:
0,4,2,7,0.0700962245464325,0.9983646273612976,521,0,Is 7740 > 2273? Answer:
0,4,3,7,0.06958922743797302,0.9831300377845764,521,0,Is 7740 > 2273? Answer:
0,4,4,4,0.07432451099157333,0.9844200015068054,521,0,Is 7740 > 2273? Answer:
