,model_name,overall_accuracy,sample_id,question,correct_answer,model_answer,is_correct
0,Qwen/Qwen2.5-3B,99.8,0,Is 754 > 214? Answer:,Yes,Yes,True
1,Qwen/Qwen2.5-3B,99.8,1,Is 859 > 381? Answer:,Yes,Yes,True
2,Qwen/Qwen2.5-3B,99.8,2,Is 328 > 242? Answer:,Yes,Yes,True
3,Qwen/Qwen2.5-3B,99.8,3,Is 792 > 858? Answer:,No,No,True
4,Qwen/Qwen2.5-3B,99.8,4,Is 704 > 532? Answer:,Yes,Yes,True
5,Qwen/Qwen2.5-3B,99.8,5,Is 130 > 195? Answer:,No,No,True
6,Qwen/Qwen2.5-3B,99.8,6,Is 338 > 617? Answer:,No,No,True
7,Qwen/Qwen2.5-3B,99.8,7,Is 674 > 303? Answer:,Yes,Yes,True
8,Qwen/Qwen2.5-3B,99.8,8,Is 325 > 559? Answer:,No,No,True
9,Qwen/Qwen2.5-3B,99.8,9,Is 928 > 990? Answer:,No,No,True
10,Qwen/Qwen2.5-3B,99.8,10,Is 877 > 925? Answer:,No,No,True
11,Qwen/Qwen2.5-3B,99.8,11,Is 814 > 532? Answer:,Yes,Yes,True
12,Qwen/Qwen2.5-3B,99.8,12,Is 384 > 259? Answer:,Yes,Yes,True
13,Qwen/Qwen2.5-3B,99.8,13,Is 881 > 444? Answer:,Yes,Yes,True
14,Qwen/Qwen2.5-3B,99.8,14,Is 194 > 489? Answer:,No,No,True
15,Qwen/Qwen2.5-3B,99.8,15,Is 467 > 967? Answer:,No,No,True
16,Qwen/Qwen2.5-3B,99.8,16,Is 718 > 370? Answer:,Yes,Yes,True
17,Qwen/Qwen2.5-3B,99.8,17,Is 847 > 570? Answer:,Yes,Yes,True
18,Qwen/Qwen2.5-3B,99.8,18,Is 487 > 180? Answer:,Yes,Yes,True
19,Qwen/Qwen2.5-3B,99.8,19,Is 949 > 743? Answer:,Yes,Yes,True
20,Qwen/Qwen2.5-3B,99.8,20,Is 691 > 296? Answer:,Yes,Yes,True
21,Qwen/Qwen2.5-3B,99.8,21,Is 146 > 777? Answer:,No,No,True
22,Qwen/Qwen2.5-3B,99.8,22,Is 891 > 396? Answer:,Yes,Yes,True
23,Qwen/Qwen2.5-3B,99.8,23,Is 975 > 338? Answer:,Yes,Yes,True
24,Qwen/Qwen2.5-3B,99.8,24,Is 489 > 384? Answer:,Yes,Yes,True
25,Qwen/Qwen2.5-3B,99.8,25,Is 750 > 954? Answer:,No,No,True
26,Qwen/Qwen2.5-3B,99.8,26,Is 266 > 479? Answer:,No,No,True
27,Qwen/Qwen2.5-3B,99.8,27,Is 314 > 786? Answer:,No,No,True
28,Qwen/Qwen2.5-3B,99.8,28,Is 818 > 799? Answer:,Yes,Yes,True
29,Qwen/Qwen2.5-3B,99.8,29,Is 723 > 750? Answer:,No,No,True
30,Qwen/Qwen2.5-3B,99.8,30,Is 646 > 846? Answer:,No,No,True
31,Qwen/Qwen2.5-3B,99.8,31,Is 267 > 573? Answer:,No,No,True
32,Qwen/Qwen2.5-3B,99.8,32,Is 376 > 755? Answer:,No,No,True
33,Qwen/Qwen2.5-3B,99.8,33,Is 801 > 432? Answer:,Yes,Yes,True
34,Qwen/Qwen2.5-3B,99.8,34,Is 334 > 941? Answer:,No,No,True
35,Qwen/Qwen2.5-3B,99.8,35,Is 924 > 423? Answer:,Yes,Yes,True
36,Qwen/Qwen2.5-3B,99.8,36,Is 374 > 167? Answer:,Yes,Yes,True
37,Qwen/Qwen2.5-3B,99.8,37,Is 680 > 997? Answer:,No,No,True
38,Qwen/Qwen2.5-3B,99.8,38,Is 317 > 771? Answer:,No,No,True
39,Qwen/Qwen2.5-3B,99.8,39,Is 505 > 758? Answer:,No,No,True
40,Qwen/Qwen2.5-3B,99.8,40,Is 246 > 371? Answer:,No,No,True
41,Qwen/Qwen2.5-3B,99.8,41,Is 352 > 862? Answer:,No,No,True
42,Qwen/Qwen2.5-3B,99.8,42,Is 864 > 698? Answer:,Yes,Yes,True
43,Qwen/Qwen2.5-3B,99.8,43,Is 697 > 508? Answer:,Yes,Yes,True
44,Qwen/Qwen2.5-3B,99.8,44,Is 324 > 241? Answer:,Yes,Yes,True
45,Qwen/Qwen2.5-3B,99.8,45,Is 193 > 873? Answer:,No,No,True
46,Qwen/Qwen2.5-3B,99.8,46,Is 981 > 212? Answer:,Yes,Yes,True
47,Qwen/Qwen2.5-3B,99.8,47,Is 742 > 263? Answer:,Yes,Yes,True
48,Qwen/Qwen2.5-3B,99.8,48,Is 710 > 165? Answer:,Yes,Yes,True
49,Qwen/Qwen2.5-3B,99.8,49,Is 490 > 710? Answer:,No,No,True
50,Qwen/Qwen2.5-3B,99.8,50,Is 641 > 357? Answer:,Yes,Yes,True
51,Qwen/Qwen2.5-3B,99.8,51,Is 796 > 838? Answer:,No,No,True
52,Qwen/Qwen2.5-3B,99.8,52,Is 798 > 649? Answer:,Yes,Yes,True
53,Qwen/Qwen2.5-3B,99.8,53,Is 887 > 756? Answer:,Yes,Yes,True
54,Qwen/Qwen2.5-3B,99.8,54,Is 214 > 400? Answer:,No,No,True
55,Qwen/Qwen2.5-3B,99.8,55,Is 261 > 564? Answer:,No,No,True
56,Qwen/Qwen2.5-3B,99.8,56,Is 839 > 996? Answer:,No,No,True
57,Qwen/Qwen2.5-3B,99.8,57,Is 612 > 880? Answer:,No,No,True
58,Qwen/Qwen2.5-3B,99.8,58,Is 619 > 208? Answer:,Yes,Yes,True
59,Qwen/Qwen2.5-3B,99.8,59,Is 961 > 754? Answer:,Yes,Yes,True
60,Qwen/Qwen2.5-3B,99.8,60,Is 256 > 482? Answer:,No,No,True
61,Qwen/Qwen2.5-3B,99.8,61,Is 652 > 897? Answer:,No,No,True
62,Qwen/Qwen2.5-3B,99.8,62,Is 713 > 431? Answer:,Yes,Yes,True
63,Qwen/Qwen2.5-3B,99.8,63,Is 119 > 214? Answer:,No,No,True
64,Qwen/Qwen2.5-3B,99.8,64,Is 999 > 951? Answer:,Yes,Yes,True
65,Qwen/Qwen2.5-3B,99.8,65,Is 345 > 159? Answer:,Yes,Yes,True
66,Qwen/Qwen2.5-3B,99.8,66,Is 999 > 680? Answer:,Yes,Yes,True
67,Qwen/Qwen2.5-3B,99.8,67,Is 187 > 849? Answer:,No,No,True
68,Qwen/Qwen2.5-3B,99.8,68,Is 935 > 170? Answer:,Yes,Yes,True
69,Qwen/Qwen2.5-3B,99.8,69,Is 231 > 775? Answer:,No,No,True
70,Qwen/Qwen2.5-3B,99.8,70,Is 662 > 269? Answer:,Yes,Yes,True
71,Qwen/Qwen2.5-3B,99.8,71,Is 640 > 993? Answer:,No,No,True
72,Qwen/Qwen2.5-3B,99.8,72,Is 316 > 652? Answer:,No,No,True
73,Qwen/Qwen2.5-3B,99.8,73,Is 830 > 419? Answer:,Yes,Yes,True
74,Qwen/Qwen2.5-3B,99.8,74,Is 787 > 765? Answer:,Yes,Yes,True
75,Qwen/Qwen2.5-3B,99.8,75,Is 548 > 629? Answer:,No,No,True
76,Qwen/Qwen2.5-3B,99.8,76,Is 223 > 353? Answer:,No,No,True
77,Qwen/Qwen2.5-3B,99.8,77,Is 165 > 446? Answer:,No,No,True
78,Qwen/Qwen2.5-3B,99.8,78,Is 702 > 667? Answer:,Yes,Yes,True
79,Qwen/Qwen2.5-3B,99.8,79,Is 702 > 325? Answer:,Yes,Yes,True
80,Qwen/Qwen2.5-3B,99.8,80,Is 172 > 824? Answer:,No,No,True
81,Qwen/Qwen2.5-3B,99.8,81,Is 334 > 169? Answer:,Yes,Yes,True
82,Qwen/Qwen2.5-3B,99.8,82,Is 980 > 438? Answer:,Yes,Yes,True
83,Qwen/Qwen2.5-3B,99.8,83,Is 626 > 343? Answer:,Yes,Yes,True
84,Qwen/Qwen2.5-3B,99.8,84,Is 785 > 597? Answer:,Yes,Yes,True
85,Qwen/Qwen2.5-3B,99.8,85,Is 652 > 235? Answer:,Yes,Yes,True
86,Qwen/Qwen2.5-3B,99.8,86,Is 348 > 903? Answer:,No,No,True
87,Qwen/Qwen2.5-3B,99.8,87,Is 926 > 516? Answer:,Yes,Yes,True
88,Qwen/Qwen2.5-3B,99.8,88,Is 196 > 199? Answer:,No,No,True
89,Qwen/Qwen2.5-3B,99.8,89,Is 462 > 533? Answer:,No,No,True
90,Qwen/Qwen2.5-3B,99.8,90,Is 578 > 984? Answer:,No,No,True
91,Qwen/Qwen2.5-3B,99.8,91,Is 789 > 769? Answer:,Yes,Yes,True
92,Qwen/Qwen2.5-3B,99.8,92,Is 162 > 512? Answer:,No,No,True
93,Qwen/Qwen2.5-3B,99.8,93,Is 919 > 982? Answer:,No,No,True
94,Qwen/Qwen2.5-3B,99.8,94,Is 354 > 296? Answer:,Yes,Yes,True
95,Qwen/Qwen2.5-3B,99.8,95,Is 649 > 559? Answer:,Yes,Yes,True
96,Qwen/Qwen2.5-3B,99.8,96,Is 532 > 287? Answer:,Yes,Yes,True
97,Qwen/Qwen2.5-3B,99.8,97,Is 573 > 355? Answer:,Yes,Yes,True
98,Qwen/Qwen2.5-3B,99.8,98,Is 553 > 927? Answer:,No,No,True
99,Qwen/Qwen2.5-3B,99.8,99,Is 151 > 767? Answer:,No,No,True
100,Qwen/Qwen2.5-3B,99.8,100,Is 195 > 871? Answer:,No,No,True
101,Qwen/Qwen2.5-3B,99.8,101,Is 270 > 516? Answer:,No,No,True
102,Qwen/Qwen2.5-3B,99.8,102,Is 592 > 318? Answer:,Yes,Yes,True
103,Qwen/Qwen2.5-3B,99.8,103,Is 160 > 268? Answer:,No,No,True
104,Qwen/Qwen2.5-3B,99.8,104,Is 102 > 499? Answer:,No,No,True
105,Qwen/Qwen2.5-3B,99.8,105,Is 902 > 903? Answer:,No,No,True
