,layer,token,logit
0,0, No,1.7543142449855804
1,0, Yes,3.231359689235687
2,1, No,0.3190565192699432
3,1, Yes,2.6016600513458252
4,2, No,1.0223369926214219
5,2, Yes,2.895693230628967
6,3, No,1.3077159333229065
7,3, Yes,4.516336059570312
8,4, No,0.8076665782928467
9,4, Yes,4.441815915107727
10,5, No,1.3305643999576569
11,5, Yes,4.351181364059448
12,6, No,0.6476446509361267
13,6, Yes,6.116593775749206
14,7, No,1.951497849225998
15,7, Yes,8.259543914794921
16,8, No,2.790289783477783
17,8, Yes,8.860437994003297
18,9, No,2.7880426359176638
19,9, Yes,8.769216032028199
20,10, No,3.7138652396202088
21,10, Yes,11.860242261886597
22,11, No,4.811748323440551
23,11, Yes,14.815184402465821
24,12, No,5.584283370971679
25,12, Yes,13.478719444274903
26,13, No,7.281821184158325
27,13, Yes,17.141871185302733
28,14, No,6.910770244598389
29,14, Yes,18.868467350006103
30,15, No,8.655741443634033
31,15, Yes,16.936345987319946
32,16, No,5.219503283500671
33,16, Yes,18.1898197555542
34,17, No,8.280714149475097
35,17, Yes,17.339109554290772
36,18, No,4.808182878494263
37,18, Yes,17.94142719268799
38,19, No,5.953033385276794
39,19, Yes,16.988013591766357
40,20, No,6.273833312988281
41,20, Yes,16.272195348739626
42,21, No,6.563679184913635
43,21, Yes,17.432554759979247
44,22, No,5.363329658508301
45,22, Yes,20.813601627349854
46,23, No,1.5940339028835298
47,23, Yes,20.99155735015869
48,24, No,1.5540941274166107
49,24, Yes,24.369429378509523
50,25, No,1.9149047863483428
51,25, Yes,26.7013641166687
52,26, No,10.854357271194457
53,26, Yes,64.4931519317627
54,27, No,20.51837579727173
55,27, Yes,66.03258449554443
56,28, No,27.39068655014038
57,28, Yes,76.89712425231933
58,29, No,34.295648708343506
59,29, Yes,93.06847053527832
60,30, No,58.735874519348144
61,30, Yes,174.25694122314454
62,31, No,105.82819107055664
63,31, Yes,196.7435446166992
64,32, No,123.20115837097168
65,32, Yes,210.240457611084
66,33, No,147.86869674682617
67,33, Yes,224.53000549316405
68,34, No,168.0238636779785
69,34, Yes,211.3344140625
70,35, No,175.1074169921875
71,35, Yes,199.2473629760742
