prompt_type,direction,alpha,prompt,base_margin,steered_margin,margin_shift,flipped,layer,head,seed,n
clean,plus,25.0,Is 1803 > 1622? Answer:,2.703125,-1.32421875,-4.02734375,1,24,7,42,100
clean,plus,25.0,Is 6891 > 3585? Answer:,3.07421875,-0.734375,-3.80859375,1,24,7,42,100
clean,plus,25.0,Is 4897 > 4346? Answer:,3.09765625,-0.859375,-3.95703125,1,24,7,42,100
clean,plus,25.0,Is 1773 > 1539? Answer:,3.23828125,-0.7734375,-4.01171875,1,24,7,42,100
clean,plus,25.0,Is 2813 > 1170? Answer:,2.8125,-1.05078125,-3.86328125,1,24,7,42,100
clean,plus,25.0,Is 5738 > 5623? Answer:,2.765625,-0.7734375,-3.5390625,1,24,7,42,100
clean,plus,25.0,Is 7621 > 6040? Answer:,2.7734375,-1.15625,-3.9296875,1,24,7,42,100
clean,plus,25.0,Is 7457 > 6076? Answer:,3.44921875,-0.515625,-3.96484375,1,24,7,42,100
clean,plus,25.0,Is 5619 > 1591? Answer:,2.83984375,-1.0078125,-3.84765625,1,24,7,42,100
clean,plus,25.0,Is 8557 > 4404? Answer:,2.23828125,-1.33984375,-3.578125,1,24,7,42,100
clean,plus,25.0,Is 5503 > 2670? Answer:,2.73828125,-0.8984375,-3.63671875,1,24,7,42,100
clean,plus,25.0,Is 2642 > 2522? Answer:,1.6484375,-1.26171875,-2.91015625,1,24,7,42,100
clean,plus,25.0,Is 8034 > 5529? Answer:,3.0234375,-0.953125,-3.9765625,1,24,7,42,100
clean,plus,25.0,Is 4621 > 3980? Answer:,2.9296875,-0.8359375,-3.765625,1,24,7,42,100
clean,plus,25.0,Is 5908 > 3176? Answer:,2.8984375,-0.7890625,-3.6875,1,24,7,42,100
clean,plus,25.0,Is 5054 > 1921? Answer:,2.796875,-0.9453125,-3.7421875,1,24,7,42,100
clean,plus,25.0,Is 1829 > 1460? Answer:,2.72265625,-1.17578125,-3.8984375,1,24,7,42,100
clean,plus,25.0,Is 8991 > 1510? Answer:,1.6875,-1.6328125,-3.3203125,1,24,7,42,100
clean,plus,25.0,Is 8724 > 7393? Answer:,2.2734375,-1.2578125,-3.53125,1,24,7,42,100
clean,plus,25.0,Is 3490 > 2573? Answer:,3.0390625,-0.9453125,-3.984375,1,24,7,42,100
clean,plus,25.0,Is 2487 > 2128? Answer:,2.9453125,-0.7734375,-3.71875,1,24,7,42,100
clean,plus,25.0,Is 7304 > 3235? Answer:,2.81640625,-1.0625,-3.87890625,1,24,7,42,100
clean,plus,25.0,Is 1611 > 1594? Answer:,2.37109375,-0.9921875,-3.36328125,1,24,7,42,100
clean,plus,25.0,Is 5011 > 4583? Answer:,3.015625,-0.75,-3.765625,1,24,7,42,100
clean,plus,25.0,Is 7101 > 5749? Answer:,3.234375,-0.9140625,-4.1484375,1,24,7,42,100
clean,plus,25.0,Is 7839 > 2331? Answer:,2.8203125,-0.8359375,-3.65625,1,24,7,42,100
clean,plus,25.0,Is 4275 > 2528? Answer:,2.8828125,-0.96875,-3.8515625,1,24,7,42,100
clean,plus,25.0,Is 5480 > 1196? Answer:,2.1015625,-1.3203125,-3.421875,1,24,7,42,100
clean,plus,25.0,Is 5919 > 1759? Answer:,2.2109375,-1.2734375,-3.484375,1,24,7,42,100
clean,plus,25.0,Is 7690 > 5570? Answer:,3.23046875,-0.796875,-4.02734375,1,24,7,42,100
clean,plus,25.0,Is 9302 > 7183? Answer:,2.546875,-1.078125,-3.625,1,24,7,42,100
clean,plus,25.0,Is 4299 > 4192? Answer:,2.76953125,-0.8828125,-3.65234375,1,24,7,42,100
clean,plus,25.0,Is 4697 > 2204? Answer:,2.51953125,-1.26953125,-3.7890625,1,24,7,42,100
clean,plus,25.0,Is 9149 > 4019? Answer:,2.6484375,-0.609375,-3.2578125,1,24,7,42,100
clean,plus,25.0,Is 1687 > 1323? Answer:,2.81640625,-0.8359375,-3.65234375,1,24,7,42,100
clean,plus,25.0,Is 8161 > 2356? Answer:,2.2265625,-1.26171875,-3.48828125,1,24,7,42,100
clean,plus,25.0,Is 5166 > 1541? Answer:,2.6484375,-1.265625,-3.9140625,1,24,7,42,100
clean,plus,25.0,Is 7178 > 3939? Answer:,2.78125,-1.33984375,-4.12109375,1,24,7,42,100
clean,plus,25.0,Is 3971 > 1674? Answer:,2.3203125,-1.3984375,-3.71875,1,24,7,42,100
clean,plus,25.0,Is 6080 > 4403? Answer:,2.9453125,-0.9765625,-3.921875,1,24,7,42,100
clean,plus,25.0,Is 9462 > 4699? Answer:,2.625,-0.828125,-3.453125,1,24,7,42,100
clean,plus,25.0,Is 2446 > 2204? Answer:,2.28125,-1.0234375,-3.3046875,1,24,7,42,100
clean,plus,25.0,Is 6667 > 4969? Answer:,3.3046875,-0.78125,-4.0859375,1,24,7,42,100
clean,plus,25.0,Is 1875 > 1273? Answer:,2.91796875,-1.234375,-4.15234375,1,24,7,42,100
clean,plus,25.0,Is 7910 > 6751? Answer:,3.09375,-0.7578125,-3.8515625,1,24,7,42,100
clean,plus,25.0,Is 4916 > 4152? Answer:,2.86328125,-0.828125,-3.69140625,1,24,7,42,100
clean,plus,25.0,Is 8575 > 3935? Answer:,2.9375,-0.765625,-3.703125,1,24,7,42,100
clean,plus,25.0,Is 9082 > 3330? Answer:,2.48046875,-0.9453125,-3.42578125,1,24,7,42,100
clean,plus,25.0,Is 3156 > 2472? Answer:,2.54296875,-1.16015625,-3.703125,1,24,7,42,100
clean,plus,25.0,Is 6730 > 1800? Answer:,2.59765625,-1.10546875,-3.703125,1,24,7,42,100
clean,plus,25.0,Is 8494 > 2498? Answer:,2.2578125,-1.12109375,-3.37890625,1,24,7,42,100
clean,plus,25.0,Is 8244 > 1053? Answer:,1.6328125,-1.6640625,-3.296875,1,24,7,42,100
clean,plus,25.0,Is 8171 > 6643? Answer:,2.80078125,-1.09375,-3.89453125,1,24,7,42,100
clean,plus,25.0,Is 8023 > 5669? Answer:,2.8515625,-1.3359375,-4.1875,1,24,7,42,100
clean,plus,25.0,Is 5244 > 3993? Answer:,3.1171875,-0.5234375,-3.640625,1,24,7,42,100
clean,plus,25.0,Is 3494 > 2947? Answer:,3.03515625,-0.9140625,-3.94921875,1,24,7,42,100
clean,plus,25.0,Is 6000 > 3295? Answer:,3.28125,-0.9296875,-4.2109375,1,24,7,42,100
clean,plus,25.0,Is 5550 > 3588? Answer:,3.12890625,-0.6015625,-3.73046875,1,24,7,42,100
clean,plus,25.0,Is 1335 > 1046? Answer:,3.29296875,-0.90625,-4.19921875,1,24,7,42,100
clean,plus,25.0,Is 3209 > 1253? Answer:,2.79296875,-1.1640625,-3.95703125,1,24,7,42,100
clean,plus,25.0,Is 4956 > 3644? Answer:,2.640625,-1.0234375,-3.6640625,1,24,7,42,100
clean,plus,25.0,Is 6889 > 3774? Answer:,2.87890625,-0.86328125,-3.7421875,1,24,7,42,100
clean,plus,25.0,Is 8695 > 5350? Answer:,2.44921875,-1.0078125,-3.45703125,1,24,7,42,100
clean,plus,25.0,Is 1712 > 1545? Answer:,2.8515625,-0.9453125,-3.796875,1,24,7,42,100
clean,plus,25.0,Is 6171 > 4282? Answer:,3.359375,-0.890625,-4.25,1,24,7,42,100
clean,plus,25.0,Is 6088 > 3817? Answer:,3.04296875,-0.796875,-3.83984375,1,24,7,42,100
clean,plus,25.0,Is 1815 > 1456? Answer:,3.078125,-1.0859375,-4.1640625,1,24,7,42,100
clean,plus,25.0,Is 8154 > 3174? Answer:,2.6015625,-1.0234375,-3.625,1,24,7,42,100
clean,plus,25.0,Is 6425 > 1167? Answer:,2.28515625,-1.46484375,-3.75,1,24,7,42,100
clean,plus,25.0,Is 4127 > 2366? Answer:,3.2265625,-0.6640625,-3.890625,1,24,7,42,100
clean,plus,25.0,Is 9844 > 2898? Answer:,2.0078125,-1.35546875,-3.36328125,1,24,7,42,100
clean,plus,25.0,Is 3488 > 2016? Answer:,1.5546875,-1.19140625,-2.74609375,1,24,7,42,100
clean,plus,25.0,Is 9933 > 8624? Answer:,2.61328125,-1.140625,-3.75390625,1,24,7,42,100
clean,plus,25.0,Is 1312 > 1073? Answer:,1.9453125,-1.125,-3.0703125,1,24,7,42,100
clean,plus,25.0,Is 8395 > 1431? Answer:,2.375,-1.2265625,-3.6015625,1,24,7,42,100
clean,plus,25.0,Is 8701 > 3167? Answer:,2.50390625,-1.15625,-3.66015625,1,24,7,42,100
clean,plus,25.0,Is 9258 > 3424? Answer:,2.46875,-1.0625,-3.53125,1,24,7,42,100
clean,plus,25.0,Is 4908 > 3587? Answer:,3.41015625,-0.75,-4.16015625,1,24,7,42,100
clean,plus,25.0,Is 2136 > 1633? Answer:,2.65234375,-0.921875,-3.57421875,1,24,7,42,100
clean,plus,25.0,Is 5545 > 4563? Answer:,2.703125,-0.7421875,-3.4453125,1,24,7,42,100
clean,plus,25.0,Is 9964 > 6955? Answer:,2.6171875,-1.0234375,-3.640625,1,24,7,42,100
clean,plus,25.0,Is 4682 > 2496? Answer:,2.9609375,-0.5078125,-3.46875,1,24,7,42,100
clean,plus,25.0,Is 4761 > 4062? Answer:,2.7734375,-1.00390625,-3.77734375,1,24,7,42,100
clean,plus,25.0,Is 3890 > 1482? Answer:,2.859375,-1.1015625,-3.9609375,1,24,7,42,100
clean,plus,25.0,Is 4008 > 1068? Answer:,2.109375,-1.3046875,-3.4140625,1,24,7,42,100
clean,plus,25.0,Is 1955 > 1086? Answer:,-0.3046875,-2.2109375,-1.90625,0,24,7,42,100
clean,plus,25.0,Is 7943 > 6016? Answer:,3.1953125,-0.7265625,-3.921875,1,24,7,42,100
clean,plus,25.0,Is 7270 > 3896? Answer:,3.2109375,-0.765625,-3.9765625,1,24,7,42,100
