prompt_type,direction,alpha,prompt,base_margin,steered_margin,margin_shift,flipped,layer,head,seed,n
clean,plus,4.0,Is 1803 > 1622? Answer:,2.703125,2.140625,-0.5625,0,24,7,42,100
clean,plus,4.0,Is 6891 > 3585? Answer:,3.07421875,2.62890625,-0.4453125,0,24,7,42,100
clean,plus,4.0,Is 4897 > 4346? Answer:,3.09765625,2.640625,-0.45703125,0,24,7,42,100
clean,plus,4.0,Is 1773 > 1539? Answer:,3.23828125,2.86328125,-0.375,0,24,7,42,100
clean,plus,4.0,Is 2813 > 1170? Answer:,2.8125,2.35546875,-0.45703125,0,24,7,42,100
clean,plus,4.0,Is 5738 > 5623? Answer:,2.765625,2.3203125,-0.4453125,0,24,7,42,100
clean,plus,4.0,Is 7621 > 6040? Answer:,2.7734375,2.2890625,-0.484375,0,24,7,42,100
clean,plus,4.0,Is 7457 > 6076? Answer:,3.44921875,3.11328125,-0.3359375,0,24,7,42,100
clean,plus,4.0,Is 5619 > 1591? Answer:,2.83984375,2.390625,-0.44921875,0,24,7,42,100
clean,plus,4.0,Is 8557 > 4404? Answer:,2.23828125,1.6875,-0.55078125,0,24,7,42,100
clean,plus,4.0,Is 5503 > 2670? Answer:,2.73828125,2.296875,-0.44140625,0,24,7,42,100
clean,plus,4.0,Is 2642 > 2522? Answer:,1.6484375,1.046875,-0.6015625,0,24,7,42,100
clean,plus,4.0,Is 8034 > 5529? Answer:,3.0234375,2.609375,-0.4140625,0,24,7,42,100
clean,plus,4.0,Is 4621 > 3980? Answer:,2.9296875,2.5234375,-0.40625,0,24,7,42,100
clean,plus,4.0,Is 5908 > 3176? Answer:,2.8984375,2.5078125,-0.390625,0,24,7,42,100
clean,plus,4.0,Is 5054 > 1921? Answer:,2.796875,2.34375,-0.453125,0,24,7,42,100
clean,plus,4.0,Is 1829 > 1460? Answer:,2.72265625,2.25,-0.47265625,0,24,7,42,100
clean,plus,4.0,Is 8991 > 1510? Answer:,1.6875,1.0625,-0.625,0,24,7,42,100
clean,plus,4.0,Is 8724 > 7393? Answer:,2.2734375,1.75,-0.5234375,0,24,7,42,100
clean,plus,4.0,Is 3490 > 2573? Answer:,3.0390625,2.6328125,-0.40625,0,24,7,42,100
clean,plus,4.0,Is 2487 > 2128? Answer:,2.9453125,2.5234375,-0.421875,0,24,7,42,100
clean,plus,4.0,Is 7304 > 3235? Answer:,2.81640625,2.3359375,-0.48046875,0,24,7,42,100
