,layer,token,logit
0,0, No,1.7563004171848298
1,0, Yes,3.2355768394470217
2,1, No,0.3222279703617096
3,1, Yes,2.603286044597626
4,2, No,1.0313416928052903
5,2, Yes,2.9006285429000855
6,3, No,1.316103401184082
7,3, Yes,4.51197199344635
8,4, No,0.8155417776107788
9,4, Yes,4.446473560333252
10,5, No,1.3357455360889434
11,5, Yes,4.360890774726868
12,6, No,0.6526362490653992
13,6, Yes,6.121603865623474
14,7, No,1.949214551448822
15,7, Yes,8.255881595611573
16,8, No,2.8105939269065856
17,8, Yes,8.89265892982483
18,9, No,2.805500559806824
19,9, Yes,8.773639974594117
20,10, No,3.7746389722824096
21,10, Yes,11.859229059219361
22,11, No,4.834450001716614
23,11, Yes,14.781589317321778
24,12, No,5.577969460487366
25,12, Yes,13.48218584060669
26,13, No,7.28127366065979
27,13, Yes,17.185470314025878
28,14, No,6.95186411857605
29,14, Yes,18.949668407440186
30,15, No,8.76033432006836
31,15, Yes,17.129211025238035
32,16, No,5.148027791976928
33,16, Yes,18.37594591140747
34,17, No,8.310750722885132
35,17, Yes,17.541583938598635
36,18, No,4.77296618938446
37,18, Yes,18.052031631469728
38,19, No,5.973695220947266
39,19, Yes,17.07389009475708
40,20, No,6.250641665458679
41,20, Yes,16.298819437026978
42,21, No,6.658818650245666
43,21, Yes,17.480012741088867
44,22, No,5.410807838439942
45,22, Yes,20.865810356140138
46,23, No,1.743630167245865
47,23, Yes,21.03614791870117
48,24, No,4.828768489360809
49,24, Yes,21.851757164001466
50,25, No,5.667143158912658
51,25, Yes,21.85214733123779
52,26, No,13.27095404624939
53,26, Yes,48.76298469543457
54,27, No,25.508114948272706
55,27, Yes,55.55608680725098
56,28, No,34.06462078094482
57,28, Yes,66.99256343841553
58,29, No,40.38123523712158
59,29, Yes,86.30359420776367
60,30, No,52.12622470855713
61,30, Yes,125.71841148376465
62,31, No,213.08476119995117
63,31, Yes,137.80385635375976
64,32, No,223.04984069824218
65,32, Yes,150.0448776245117
66,33, No,228.54417984008788
67,33, Yes,179.1676026916504
68,34, No,203.63954956054687
69,34, Yes,167.05555603027344
70,35, No,209.1678237915039
71,35, Yes,184.7975294494629
