layer,head,importance,example_id,n_shots,prompt
0,0,0.8255348205566406,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,7,0.7801589965820312,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,1,0.7623558044433594,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,7,0.5926170349121094,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,0,0.4690132141113281,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,7,0.4248924255371094,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,5,0.3963661193847656,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,6,0.3947868347167969,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,6,0.3826637268066406,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,1,0.3478507995605469,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,2,0.2958869934082031,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,6,0.2772712707519531,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,1,0.27141571044921875,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,7,0.265472412109375,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
2,2,0.24110794067382812,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,3,0.18505096435546875,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,2,0.16274261474609375,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,3,0.15912246704101562,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,7,0.10121536254882812,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,1,0.09661865234375,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,1,0.05962371826171875,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,6,0.055568695068359375,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
3,5,0.03980255126953125,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
1,0,0.037509918212890625,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
5,4,0.03631591796875,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
4,6,0.0198822021484375,521,2,"Is 9115 > 982? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 7740 > 2273? Answer:"
0,0,0.9684410095214844,737,2,"Is 3648 > 56? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer:"
1,1,0.8022003173828125,737,2,"Is 3648 > 56? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer:"
3,7,0.740081787109375,737,2,"Is 3648 > 56? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer:"
1,7,0.6598892211914062,737,2,"Is 3648 > 56? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer:"
3,0,0.6207466125488281,737,2,"Is 3648 > 56? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer:"
2,1,0.5334091186523438,737,2,"Is 3648 > 56? Answer: Yes
Is 9189 > 5325? Answer: Yes
Is 3648 > 56? Answer:"
