,layer,token,logit
0,0, No,1.7563014566898345
1,0, Yes,3.2355761194229125
2,1, No,0.3222297030687332
3,1, Yes,2.6032855534553527
4,2, No,1.0313431912660598
5,2, Yes,2.900627279281616
6,3, No,1.3161080813407897
7,3, Yes,4.51196699142456
8,4, No,0.8155516302585601
9,4, Yes,4.4464777040481565
10,5, No,1.3357548987865449
11,5, Yes,4.36089581489563
12,6, No,0.6526504039764405
13,6, Yes,6.121622242927551
14,7, No,1.9492278480529786
15,7, Yes,8.25590929031372
16,8, No,2.8106112384796145
17,8, Yes,8.892689342498779
18,9, No,2.8055072116851805
19,9, Yes,8.773671827316285
20,10, No,3.774624969959259
21,10, Yes,11.859243059158326
22,11, No,4.834432902336121
23,11, Yes,14.781599111557007
24,12, No,5.577932147979737
25,12, Yes,13.482187099456787
26,13, No,7.281246490478516
27,13, Yes,17.18549175262451
28,14, No,6.951854300498963
29,14, Yes,18.949697761535646
30,15, No,8.760343332290649
31,15, Yes,17.129236850738526
32,16, No,5.148040823936462
33,16, Yes,18.375942726135253
34,17, No,8.310759382247925
35,17, Yes,17.541587085723876
36,18, No,4.772970218658447
37,18, Yes,18.052021522521972
38,19, No,5.973697471618652
39,19, Yes,17.073891944885254
40,20, No,6.2506152486801145
41,20, Yes,16.298829374313353
42,21, No,6.658777270317078
43,21, Yes,17.48000774383545
44,22, No,5.4107811069488525
45,22, Yes,20.865804347991944
46,23, No,1.7436067628860474
47,23, Yes,21.036129627227783
48,24, No,4.828716661930084
49,24, Yes,21.851754512786865
50,25, No,5.66709150314331
51,25, Yes,21.85207853317261
52,26, No,13.270842428207397
53,26, Yes,48.762844200134275
54,27, No,25.507999267578125
55,27, Yes,55.55600673675537
56,28, No,34.06444452285766
57,28, Yes,66.99246463775634
58,29, No,40.38104141235352
59,29, Yes,86.30353324890137
60,30, No,52.1260542678833
61,30, Yes,125.7182861328125
62,31, No,213.08591842651367
63,31, Yes,137.80383415222167
64,32, No,223.0506164550781
65,32, Yes,150.04454254150392
66,33, No,228.54490997314454
67,33, Yes,179.1674868774414
68,34, No,203.63970916748048
69,34, Yes,167.0552833557129
70,35, No,209.16787857055664
71,35, Yes,184.79730102539062
