layer,head,importance,example_id,n_shots,prompt
0,2,0.8744583129882812,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
0,3,0.8400154113769531,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
5,3,0.39533233642578125,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
2,5,0.3871307373046875,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
5,1,0.3076362609863281,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
4,4,0.2663307189941406,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
1,4,0.2573356628417969,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
4,1,0.24802780151367188,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
4,2,0.23806381225585938,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
0,7,0.23345565795898438,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
3,2,0.20383453369140625,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
4,3,0.19431686401367188,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
4,5,0.18886184692382812,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
3,7,0.18593978881835938,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
4,0,0.17649459838867188,521,2,"Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer: Yes
Is 7740 > 2273? Answer:"
