model,prompt_type,direction,alpha,layer,head,prompt,base_margin,steered_margin,margin_shift,flipped,seed,n
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 1803 > 1622? Answer:,2.7421875,1.21875,-1.5234375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 6891 > 3585? Answer:,3.01953125,1.5234375,-1.49609375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 4897 > 4346? Answer:,3.5,1.8203125,-1.6796875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 1773 > 1539? Answer:,2.703125,1.2421875,-1.4609375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 2813 > 1170? Answer:,2.859375,1.296875,-1.5625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5738 > 5623? Answer:,2.984375,1.3515625,-1.6328125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 7621 > 6040? Answer:,2.9765625,1.546875,-1.4296875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 7457 > 6076? Answer:,2.6484375,1.109375,-1.5390625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5619 > 1591? Answer:,2.7421875,1.09375,-1.6484375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 8557 > 4404? Answer:,3.671875,2.2421875,-1.4296875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5503 > 2670? Answer:,3.30078125,1.8125,-1.48828125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 2642 > 2522? Answer:,2.859375,1.1640625,-1.6953125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 8034 > 5529? Answer:,3.1875,1.8515625,-1.3359375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 4621 > 3980? Answer:,2.703125,1.1484375,-1.5546875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5908 > 3176? Answer:,3.125,1.7109375,-1.4140625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5054 > 1921? Answer:,3.83203125,2.3515625,-1.48046875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 1829 > 1460? Answer:,2.484375,0.859375,-1.625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 8991 > 1510? Answer:,2.671875,1.1953125,-1.4765625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 8724 > 7393? Answer:,3.15625,1.65625,-1.5,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 3490 > 2573? Answer:,3.171875,1.6484375,-1.5234375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 2487 > 2128? Answer:,2.2734375,0.5390625,-1.734375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 7304 > 3235? Answer:,3.34375,1.8125,-1.53125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 1611 > 1594? Answer:,2.0703125,0.5,-1.5703125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5011 > 4583? Answer:,2.8203125,1.390625,-1.4296875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 7101 > 5749? Answer:,3.0859375,1.71875,-1.3671875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 7839 > 2331? Answer:,3.0390625,1.4296875,-1.609375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 4275 > 2528? Answer:,2.78125,1.3046875,-1.4765625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5480 > 1196? Answer:,2.92578125,1.2734375,-1.65234375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,10.0,15,9,Is 5919 > 1759? Answer:,2.6328125,1.125,-1.5078125,0,42,100
