,layer,token,logit
0,0, No,1.7543151772022247
1,0, Yes,3.231359326839447
2,1, No,0.3190581148862839
3,1, Yes,2.6016595721244813
4,2, No,1.0223382544517516
5,2, Yes,2.8956921887397766
6,3, No,1.3077207005023956
7,3, Yes,4.516331114768982
8,4, No,0.8076760816574097
9,4, Yes,4.441820697784424
10,5, No,1.3305739176273346
11,5, Yes,4.351186923980713
12,6, No,0.6476595377922059
13,6, Yes,6.116612582206726
14,7, No,1.951512898206711
15,7, Yes,8.259571685791016
16,8, No,2.790309798717499
17,8, Yes,8.860467586517334
18,9, No,2.788051629066467
19,9, Yes,8.769247970581056
20,10, No,3.71385201215744
21,10, Yes,11.860255060195923
22,11, No,4.811732029914856
23,11, Yes,14.815191593170166
24,12, No,5.584245476722717
25,12, Yes,13.478718967437745
26,13, No,7.281793336868287
27,13, Yes,17.14189205169678
28,14, No,6.910757684707642
29,14, Yes,18.868496322631835
30,15, No,8.65574870109558
31,15, Yes,16.936368350982665
32,16, No,5.219514060020447
33,16, Yes,18.18981159210205
34,17, No,8.28071985244751
35,17, Yes,17.33910659790039
36,18, No,4.808184304237366
37,18, Yes,17.941411514282226
38,19, No,5.953034715652466
39,19, Yes,16.988010025024415
40,20, No,6.273804078102112
41,20, Yes,16.27219902038574
42,21, No,6.563635411262513
43,21, Yes,17.432543125152588
44,22, No,5.363301038742065
45,22, Yes,20.81359127044678
46,23, No,1.5940082001686096
47,23, Yes,20.99153289794922
48,24, No,1.554050133228302
49,24, Yes,24.369426517486573
50,25, No,1.9148452591896057
51,25, Yes,26.701308917999267
52,26, No,10.854246263504029
53,26, Yes,64.49297077178954
54,27, No,20.518289108276367
55,27, Yes,66.03250450134277
56,28, No,27.39055768966675
57,28, Yes,76.89705192565918
58,29, No,34.29553291320801
59,29, Yes,93.06848648071289
60,30, No,58.73575183868408
61,30, Yes,174.25682739257812
62,31, No,105.82873176574707
63,31, Yes,196.74363540649415
64,32, No,123.20158485412598
65,32, Yes,210.24026443481446
66,33, No,147.86923721313477
67,33, Yes,224.53017379760743
68,34, No,168.0240591430664
69,34, Yes,211.33438858032227
70,35, No,175.10751876831054
71,35, Yes,199.24738906860352
