prompt_type,direction,alpha,prompt,base_margin,steered_margin,margin_shift,flipped,layer,head,seed,n
clean,plus,25.0,Is 1803 > 1622? Answer:,2.703125,-1.94921875,-4.65234375,1,24,5,42,100
clean,plus,25.0,Is 6891 > 3585? Answer:,3.07421875,-1.58984375,-4.6640625,1,24,5,42,100
clean,plus,25.0,Is 4897 > 4346? Answer:,3.09765625,-1.703125,-4.80078125,1,24,5,42,100
clean,plus,25.0,Is 1773 > 1539? Answer:,3.23828125,-1.80078125,-5.0390625,1,24,5,42,100
clean,plus,25.0,Is 2813 > 1170? Answer:,2.8125,-1.76953125,-4.58203125,1,24,5,42,100
clean,plus,25.0,Is 5738 > 5623? Answer:,2.765625,-1.7109375,-4.4765625,1,24,5,42,100
clean,plus,25.0,Is 7621 > 6040? Answer:,2.7734375,-1.8046875,-4.578125,1,24,5,42,100
clean,plus,25.0,Is 7457 > 6076? Answer:,3.44921875,-1.578125,-5.02734375,1,24,5,42,100
clean,plus,25.0,Is 5619 > 1591? Answer:,2.83984375,-1.95703125,-4.796875,1,24,5,42,100
clean,plus,25.0,Is 8557 > 4404? Answer:,2.23828125,-2.109375,-4.34765625,1,24,5,42,100
clean,plus,25.0,Is 5503 > 2670? Answer:,2.73828125,-1.703125,-4.44140625,1,24,5,42,100
clean,plus,25.0,Is 2642 > 2522? Answer:,1.6484375,-1.8125,-3.4609375,1,24,5,42,100
clean,plus,25.0,Is 8034 > 5529? Answer:,3.0234375,-1.88671875,-4.91015625,1,24,5,42,100
clean,plus,25.0,Is 4621 > 3980? Answer:,2.9296875,-1.62109375,-4.55078125,1,24,5,42,100
clean,plus,25.0,Is 5908 > 3176? Answer:,2.8984375,-1.8125,-4.7109375,1,24,5,42,100
clean,plus,25.0,Is 5054 > 1921? Answer:,2.796875,-1.734375,-4.53125,1,24,5,42,100
clean,plus,25.0,Is 1829 > 1460? Answer:,2.72265625,-1.86328125,-4.5859375,1,24,5,42,100
clean,plus,25.0,Is 8991 > 1510? Answer:,1.6875,-2.21484375,-3.90234375,1,24,5,42,100
clean,plus,25.0,Is 8724 > 7393? Answer:,2.2734375,-2.17578125,-4.44921875,1,24,5,42,100
clean,plus,25.0,Is 3490 > 2573? Answer:,3.0390625,-1.8125,-4.8515625,1,24,5,42,100
clean,plus,25.0,Is 2487 > 2128? Answer:,2.9453125,-1.6171875,-4.5625,1,24,5,42,100
clean,plus,25.0,Is 7304 > 3235? Answer:,2.81640625,-1.85546875,-4.671875,1,24,5,42,100
clean,plus,25.0,Is 1611 > 1594? Answer:,2.37109375,-1.75,-4.12109375,1,24,5,42,100
clean,plus,25.0,Is 5011 > 4583? Answer:,3.015625,-1.66796875,-4.68359375,1,24,5,42,100
clean,plus,25.0,Is 7101 > 5749? Answer:,3.234375,-1.7890625,-5.0234375,1,24,5,42,100
clean,plus,25.0,Is 7839 > 2331? Answer:,2.8203125,-1.8203125,-4.640625,1,24,5,42,100
clean,plus,25.0,Is 4275 > 2528? Answer:,2.8828125,-1.7578125,-4.640625,1,24,5,42,100
clean,plus,25.0,Is 5480 > 1196? Answer:,2.1015625,-2.046875,-4.1484375,1,24,5,42,100
clean,plus,25.0,Is 5919 > 1759? Answer:,2.2109375,-2.05859375,-4.26953125,1,24,5,42,100
clean,plus,25.0,Is 7690 > 5570? Answer:,3.23046875,-1.625,-4.85546875,1,24,5,42,100
clean,plus,25.0,Is 9302 > 7183? Answer:,2.546875,-1.9140625,-4.4609375,1,24,5,42,100
clean,plus,25.0,Is 4299 > 4192? Answer:,2.76953125,-1.75,-4.51953125,1,24,5,42,100
clean,plus,25.0,Is 4697 > 2204? Answer:,2.51953125,-1.96484375,-4.484375,1,24,5,42,100
clean,plus,25.0,Is 9149 > 4019? Answer:,2.6484375,-1.5234375,-4.171875,1,24,5,42,100
clean,plus,25.0,Is 1687 > 1323? Answer:,2.81640625,-1.6171875,-4.43359375,1,24,5,42,100
